product_id,name,category,brand,price,currency,stock,attributes,alternatives
P043,Compact Wireless Keyboard White Variant,keyboards,Logitech,53.99,USD,40,"{""color"": ""white"", ""size"": ""compact"", ""connection type"": ""Bluetooth"", ""warranty"": ""12 months"", ""variant"": ""v43""}","[""P013""]"
P044,Logitech MX Master Wireless Mouse Blue Variant,mice,Logitech,111.99,USD,43,"{""color"": ""blue"", ""connection type"": ""Bluetooth/USB receiver"", ""warranty"": ""12 months"", ""variant"": ""v44""}","[""P014""]"
P045,Budget Wireless Mouse Green Variant,mice,TechGear,16.99,USD,1,"{""color"": ""green"", ""connection type"": ""USB receiver"", ""warranty"": ""6 months"", ""variant"": ""v45""}","[""P015""]"
P046,Smart Watch Active 2 Silver Variant,smart watches,Amazfit,122.99,USD,4,"{""color"": ""silver"", ""size"": ""44mm"", ""connection type"": ""Bluetooth"", ""warranty"": ""12 months"", ""variant"": ""v46""}","[""P016""]"
P047,Smart Watch Mini Rose Clear Variant,smart watches,TechGear,85.99,USD,7,"{""color"": ""clear"", ""size"": ""40mm"", ""connection type"": ""Bluetooth"", ""warranty"": ""12 months"", ""variant"": ""v47""}","[""P017""]"
P048,Aluminum Laptop Stand Black Variant,laptop accessories,TechGear,46.99,USD,10,"{""color"": ""black"", ""size"": ""universal"", ""compatibility"": ""13-17 inch laptops"", ""warranty"": ""6 months"", ""variant"": ""v48""}","[""P018""]"
P049,USB-C Hub 8-in-1 White Variant,laptop accessories,Baseus,66.99,USD,0,"{""color"": ""white"", ""connection type"": ""USB-C"", ""compatibility"": ""Windows/Mac"", ""warranty"": ""12 months"", ""variant"": ""v49""}","[""P019""]"
P050,Laptop Cooling Pad Blue Variant,laptop accessories,CoolerMaster,29.99,USD,16,"{""color"": ""blue"", ""size"": ""15-17 inch"", ""connection type"": ""USB-A"", ""warranty"": ""6 months"", ""variant"": ""v50""}","[""P020""]"
P051,Braided USB-C Cable 1m Green Variant,cables,Anker,12.99,USD,19,"{""color"": ""green"", ""size"": ""1m"", ""connection type"": ""USB-C to USB-C"", ""warranty"": ""6 months"", ""variant"": ""v51""}","[""P021""]"
P052,Lightning Cable 2m Silver Variant,cables,Belkin,20.99,USD,22,"{""color"": ""silver"", ""size"": ""2m"", ""connection type"": ""USB-C to Lightning"", ""warranty"": ""6 months"", ""variant"": ""v52""}","[""P022""]"
P053,HDMI Cable 2m Clear Variant,cables,TechGear,20.99,USD,25,"{""color"": ""clear"", ""size"": ""2m"", ""connection type"": ""HDMI 2.1"", ""warranty"": ""6 months"", ""variant"": ""v53""}","[""P023""]"
P054,USB-C to HDMI Adapter Black Variant,cables,Baseus,30.99,USD,28,"{""color"": ""black"", ""connection type"": ""USB-C to HDMI"", ""compatibility"": ""Windows/Mac"", ""warranty"": ""6 months"", ""variant"": ""v54""}","[""P024""]"
P055,Power Bank 20000mAh USB-C White Variant,power banks,Anker,59.99,USD,31,"{""color"": ""white"", ""capacity"": ""20000mAh"", ""connection type"": ""USB-C"", ""warranty"": ""12 months"", ""variant"": ""v55""}","[""P025""]"
P056,Power Bank 10000mAh Slim Blue Variant,power banks,Xiaomi,32.99,USD,0,"{""color"": ""blue"", ""capacity"": ""10000mAh"", ""connection type"": ""USB-C"", ""warranty"": ""12 months"", ""variant"": ""v56""}","[""P026""]"
P057,Mini Bluetooth Speaker Green Variant,small electronics,JBL,45.99,USD,37,"{""color"": ""green"", ""connection type"": ""Bluetooth"", ""warranty"": ""12 months"", ""variant"": ""v57""}","[""P027""]"
P058,USB Desk Lamp with Wireless Charging Silver Variant,small electronics,TechGear,54.99,USD,40,"{""color"": ""silver"", ""connection type"": ""USB-C/wireless"", ""warranty"": ""12 months"", ""variant"": ""v58""}","[""P028""]"
P059,Webcam Full HD Clear Variant,small electronics,Logitech,81.99,USD,43,"{""color"": ""clear"", ""connection type"": ""USB-A"", ""warranty"": ""12 months"", ""variant"": ""v59""}","[""P029""]"
P060,Portable SSD 1TB Black Variant,small electronics,Samsung,109.99,USD,1,"{""color"": ""black"", ""capacity"": ""1TB"", ""connection type"": ""USB-C"", ""warranty"": ""12 months"", ""variant"": ""v60""}","[""P030""]"
